id,text,label
0,i just feel really helpless and heavy hearted,4
1,ive enjoyed being able to slouch about relax and unwind and frankly needed it after those last few weeks around the end of uni and the expo i have lately started to find myself feeling a bit listless which is never really a good thing,0
2,i gave up my internship with the dmrg and am feeling distraught,4
3,i dont know i feel so lost,0
4,i am a kindergarten teacher and i am thoroughly weary of my job after having taken the university entrance exam i suffered from anxiety for weeks as i did not want to carry on with my work studies were the only alternative,4
5,i was beginning to feel quite disheartened,0
6,i would think that whomever would be lucky enough to stay in this suite must feel like it is the most romantic place on earth,2
7,i fear that they won t ever feel that delicious excitement of christmas eve at least not in the same way i remember doing it,1
8,im forever taking some time out to have a lie down because i feel weird,5
9,i can still lose the weight without feeling deprived,0
10,i try to be nice though so if you get a bitchy person on the phone or at the window feel free to have a little fit and throw your pen at her face,1
11,im feeling a little like a damaged tree and that my roots are a little out of wack,0
12,i have officially graduated im not feeling as ecstatic as i thought i would,1
13,i feel like a jerk because the library students who all claim to love scrabble cant be bothered to participate and clearly scrabble is an inappropriate choice for a group of students whose native language isnt english,3
14,i feel my portfolio demonstrates how eager i am to learn but some who know me better might call it annoyingly persistent,1
15,i may be more biased than the next because i have a dependent life to take care of and to keep safe but i feel we all need to take care of ourselves as well,1
16,i didn t feel terrific,1
17,i miss all the others as well that feel that i wronged them and they will soon understand that i didnt,3
18,i feel so stupid that i realise it so late,0
19,i saunter through the airport terminals feeling that i have had an experience that renders the petty tribulations of everyday travel somehow far less significant,3
20,i need to feel dangerous and pretty so here a striking dance pick deep in vogue minutes ago,3
21,i am feeling much stronger and more confident now and by professional opinion i know that i do not have anything serious,1
22,i take a shower i feel wonderful energetic and all my previous feelings about my life turn into this awesome feeling creating my life like the happiest life in the world,1
23,i don t feel submissive and for the time being i ve lost interest in some bdsm stuff,0
24,i would imagine this is just one of the reasons why marriage is so hard because theyll see all the good bad and ugly parts of you the parts that make it hard for you to love yourself and it feels even more awful when you feel like those parts are exposed to other people and i dont know,0
25,i feel like a real fan not that i was ever a fake fan,0
26,i feel like i am actually getting something useful out of it,1
27,i was able to overcome this anxiousness and feel peaceful as i quickly jotted down all the answers to todays homework,1
28,when,3
29,i have been successful in providing some peace of mind i feel content,1
30,i guess that feeling is what im really getting all nostalgic about,2
31,i needed to show me that i really am integrating and making connections here since i had been feeling pretty homesick the week before,0
32,i feel disheartened to message him and yet does not get a reply or any news from him,0
33,i feel assured that i m doing so much right and that i am not alone,1
